/home/wangsh/DBALwithImgData-main/main.py:10: DeprecationWarning: Please use `gaussian_filter1d` from the `scipy.ndimage` namespace, the `scipy.ndimage.filters` namespace is deprecated.
  from scipy.ndimage.filters import gaussian_filter1d
Using device: cuda:0
Dataset is unwei_ASL_MNIST
DataLoader :  <load_data.LoadASLData object at 0x148b167c6dc0>
Val Accuracy after query 130: 1.0000
test Accuracy after query 130: 0.9292
Val Accuracy after query 135: 1.0000
test Accuracy after query 135: 0.9292
Val Accuracy after query 140: 1.0000
test Accuracy after query 140: 0.9234
Val Accuracy after query 145: 1.0000
test Accuracy after query 145: 0.9234
Val Accuracy after query 150: 1.0000
test Accuracy after query 150: 0.9170
********** Test Accuracy per experiment: 0.917 **********
********** Experiment 2 (max_entropy-MC_dropout=True): 0:26:47 **********
********** Experiment Iterations: 3/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.3700
test Accuracy after query 5: 0.4182
Val Accuracy after query 10: 0.4100
test Accuracy after query 10: 0.4270
Val Accuracy after query 15: 0.4900
test Accuracy after query 15: 0.5348
Val Accuracy after query 20: 0.5900
test Accuracy after query 20: 0.5996
Val Accuracy after query 25: 0.6300
test Accuracy after query 25: 0.6326
Val Accuracy after query 30: 0.7000
test Accuracy after query 30: 0.6716
Val Accuracy after query 35: 0.7700
test Accuracy after query 35: 0.7090
Val Accuracy after query 40: 0.8000
test Accuracy after query 40: 0.7594
Val Accuracy after query 45: 0.8600
test Accuracy after query 45: 0.8016
Val Accuracy after query 50: 0.8900
test Accuracy after query 50: 0.8274
Val Accuracy after query 55: 0.9300
test Accuracy after query 55: 0.8480
Val Accuracy after query 60: 0.9300
test Accuracy after query 60: 0.8560
Val Accuracy after query 65: 0.9600
test Accuracy after query 65: 0.8788
Val Accuracy after query 70: 0.9700
test Accuracy after query 70: 0.8830
Val Accuracy after query 75: 0.9800
test Accuracy after query 75: 0.8982
Val Accuracy after query 80: 1.0000
test Accuracy after query 80: 0.9028
Val Accuracy after query 85: 1.0000
test Accuracy after query 85: 0.9214
Val Accuracy after query 90: 1.0000
test Accuracy after query 90: 0.9216
Val Accuracy after query 95: 1.0000
test Accuracy after query 95: 0.9266
Val Accuracy after query 100: 1.0000
test Accuracy after query 100: 0.9230
Val Accuracy after query 105: 1.0000
test Accuracy after query 105: 0.9238
Val Accuracy after query 110: 1.0000
test Accuracy after query 110: 0.9390
Val Accuracy after query 115: 1.0000
test Accuracy after query 115: 0.9284
Val Accuracy after query 120: 1.0000
test Accuracy after query 120: 0.9364
Val Accuracy after query 125: 1.0000
test Accuracy after query 125: 0.9364
Val Accuracy after query 130: 1.0000
test Accuracy after query 130: 0.9408
Val Accuracy after query 135: 1.0000
test Accuracy after query 135: 0.9420
Val Accuracy after query 140: 1.0000
test Accuracy after query 140: 0.9360
Val Accuracy after query 145: 1.0000
test Accuracy after query 145: 0.9368
Val Accuracy after query 150: 1.0000
test Accuracy after query 150: 0.9338
********** Test Accuracy per experiment: 0.9338 **********
********** Experiment 3 (max_entropy-MC_dropout=True): 0:26:45 **********
Average Test score for max_entropy-MC_dropout=True: 0.9288
Saved: result_npy/max_entropy-MC_dropout=Trueunwei_ASL_MNIST.npy

---------- Start bald-MC_dropout=True training! ----------
********** Experiment Iterations: 1/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.4100
test Accuracy after query 5: 0.3466
Val Accuracy after query 10: 0.5000
test Accuracy after query 10: 0.4732
Val Accuracy after query 15: 0.5900
test Accuracy after query 15: 0.4968
Val Accuracy after query 20: 0.5900
test Accuracy after query 20: 0.5412
Val Accuracy after query 25: 0.6800
test Accuracy after query 25: 0.6726
Val Accuracy after query 30: 0.7000
test Accuracy after query 30: 0.6956
Val Accuracy after query 35: 0.7100
test Accuracy after query 35: 0.7212
Val Accuracy after query 40: 0.7800
test Accuracy after query 40: 0.7644
Val Accuracy after query 45: 0.8400
test Accuracy after query 45: 0.8100
Val Accuracy after query 50: 0.8700
test Accuracy after query 50: 0.8412
Val Accuracy after query 55: 0.9400
test Accuracy after query 55: 0.8514
Val Accuracy after query 60: 0.9600
test Accuracy after query 60: 0.8402
Val Accuracy after query 65: 0.9800
test Accuracy after query 65: 0.8854
Val Accuracy after query 70: 1.0000
test Accuracy after query 70: 0.9002
Val Accuracy after query 75: 0.9900
test Accuracy after query 75: 0.9146
Val Accuracy after query 80: 1.0000
test Accuracy after query 80: 0.9322
Val Accuracy after query 85: 1.0000
test Accuracy after query 85: 0.9240
Val Accuracy after query 90: 1.0000
test Accuracy after query 90: 0.9216
Val Accuracy after query 95: 1.0000
test Accuracy after query 95: 0.9294
Val Accuracy after query 100: 1.0000
test Accuracy after query 100: 0.9310
Val Accuracy after query 105: 1.0000
test Accuracy after query 105: 0.9310
Val Accuracy after query 110: 1.0000
test Accuracy after query 110: 0.9278
Val Accuracy after query 115: 1.0000
test Accuracy after query 115: 0.9294
Val Accuracy after query 120: 1.0000
test Accuracy after query 120: 0.9394
Val Accuracy after query 125: 1.0000
test Accuracy after query 125: 0.9440
Val Accuracy after query 130: 1.0000
test Accuracy after query 130: 0.9406
Val Accuracy after query 135: 1.0000
test Accuracy after query 135: 0.9488
Val Accuracy after query 140: 1.0000
test Accuracy after query 140: 0.9388
Val Accuracy after query 145: 1.0000
test Accuracy after query 145: 0.9472
Val Accuracy after query 150: 1.0000
test Accuracy after query 150: 0.9492
********** Test Accuracy per experiment: 0.9492 **********
********** Experiment 1 (bald-MC_dropout=True): 0:27:5 **********
********** Experiment Iterations: 2/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.4200
test Accuracy after query 5: 0.3732
Val Accuracy after query 10: 0.5500
test Accuracy after query 10: 0.4446
Val Accuracy after query 15: 0.6300
test Accuracy after query 15: 0.5220
Val Accuracy after query 20: 0.6900
test Accuracy after query 20: 0.6028
Val Accuracy after query 25: 0.7300
test Accuracy after query 25: 0.6282
Val Accuracy after query 30: 0.7400
test Accuracy after query 30: 0.6256
Val Accuracy after query 35: 0.7400
test Accuracy after query 35: 0.6908
Val Accuracy after query 40: 0.7800
test Accuracy after query 40: 0.7420
Val Accuracy after query 45: 0.8100
test Accuracy after query 45: 0.7556
Val Accuracy after query 50: 0.8500
test Accuracy after query 50: 0.8354
Val Accuracy after query 55: 0.9300
test Accuracy after query 55: 0.8640
Val Accuracy after query 60: 0.9600
test Accuracy after query 60: 0.8874
Val Accuracy after query 65: 0.9800
test Accuracy after query 65: 0.9034
Val Accuracy after query 70: 1.0000
test Accuracy after query 70: 0.9012
Val Accuracy after query 75: 0.9900
test Accuracy after query 75: 0.8970
Val Accuracy after query 80: 0.9900
test Accuracy after query 80: 0.9214
Val Accuracy after query 85: 1.0000
test Accuracy after query 85: 0.9268
Val Accuracy after query 90: 1.0000
test Accuracy after query 90: 0.9246
Val Accuracy after query 95: 1.0000
test Accuracy after query 95: 0.9256
Val Accuracy after query 100: 1.0000
test Accuracy after query 100: 0.9108
Val Accuracy after query 105: 1.0000
test Accuracy after query 105: 0.9266
Val Accuracy after query 110: 1.0000
test Accuracy after query 110: 0.9340
Val Accuracy after query 115: 1.0000
test Accuracy after query 115: 0.9310
Val Accuracy after query 120: 1.0000
test Accuracy after query 120: 0.9368
Val Accuracy after query 125: 1.0000
test Accuracy after query 125: 0.9338
Val Accuracy after query 130: 1.0000
test Accuracy after query 130: 0.9360
Val Accuracy after query 135: 1.0000
test Accuracy after query 135: 0.9378
Val Accuracy after query 140: 1.0000
test Accuracy after query 140: 0.9384
Val Accuracy after query 145: 1.0000
test Accuracy after query 145: 0.9432
Val Accuracy after query 150: 1.0000
test Accuracy after query 150: 0.9450
********** Test Accuracy per experiment: 0.945 **********
********** Experiment 2 (bald-MC_dropout=True): 0:27:5 **********
********** Experiment Iterations: 3/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.3200
test Accuracy after query 5: 0.3794
Val Accuracy after query 10: 0.4600
test Accuracy after query 10: 0.3874
Val Accuracy after query 15: 0.5200
test Accuracy after query 15: 0.5112
Val Accuracy after query 20: 0.5500
test Accuracy after query 20: 0.5108
Val Accuracy after query 25: 0.6000
test Accuracy after query 25: 0.5840
Val Accuracy after query 30: 0.6800
test Accuracy after query 30: 0.6308
Val Accuracy after query 35: 0.7800
test Accuracy after query 35: 0.6764
Val Accuracy after query 40: 0.8200
test Accuracy after query 40: 0.7244
Val Accuracy after query 45: 0.8300
test Accuracy after query 45: 0.7620
Val Accuracy after query 50: 0.8700
test Accuracy after query 50: 0.8052
Val Accuracy after query 55: 0.8900
test Accuracy after query 55: 0.8520
Val Accuracy after query 60: 0.9500
test Accuracy after query 60: 0.8586
Val Accuracy after query 65: 0.9600
test Accuracy after query 65: 0.8734
Val Accuracy after query 70: 0.9700
test Accuracy after query 70: 0.8826
Val Accuracy after query 75: 0.9800
test Accuracy after query 75: 0.8900
Val Accuracy after query 80: 1.0000
test Accuracy after query 80: 0.9068
Val Accuracy after query 85: 1.0000
test Accuracy after query 85: 0.9146
Val Accuracy after query 90: 1.0000
test Accuracy after query 90: 0.9158
Val Accuracy after query 95: 1.0000
test Accuracy after query 95: 0.9258
Val Accuracy after query 100: 1.0000
test Accuracy after query 100: 0.9182
Val Accuracy after query 105: 1.0000
test Accuracy after query 105: 0.9128
Val Accuracy after query 110: 1.0000
test Accuracy after query 110: 0.9210
Val Accuracy after query 115: 1.0000
test Accuracy after query 115: 0.9392
Val Accuracy after query 120: 1.0000
test Accuracy after query 120: 0.9312
Val Accuracy after query 125: 1.0000
test Accuracy after query 125: 0.9320
Val Accuracy after query 130: 1.0000
